LithologyCode,LithNumber,OldIDNumber,,LAT,NS,LONG,EW,Continent,Country,,GeogComments,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso
T,125,T811,,28,N,87,E,Asia,India,,southern Tibet,M - U,Mississippian,Visean to Serpukhovian,,Tillites,Rakyang,diamictites,"Garznati, Sciunnach(1997)",see also Garzanti et al.(1998)
T,126,T812,,-32,S,-69,W,S. America,Argentina,,Precordillera,Middle,Mississippian,Visean,,Tillites,,,"Gonzalez(1990,1993)",
T,127,T812.1,,-4.75,S,-66.25,W,S. America,Brazil,,eastern part of the Solimoes Basin of northern Brazil,Lower,Mississippian,possible Tournaisian age,palynologically dated,Tillites,,glaciogenis diamictites,Melo et al.(1995),
G,128,G813,,51,N,-115,W,N. America,Canada,,west of Calgary,Middle,Mississippian,Visean,,Glendonites,Mount Head,,"Brandley,Krause(1993a,b; 1994)",
C,129,C814,,36,N,1,E,Africa,Algeria,,western Atlas,Middle,Mississippian,Visean,,Coals,,,Petroconsultants(1977),
C,130,C815,,30,N,33,E,Africa,Egypt,,Sinai,L-M-U,Mississippian,,,Coals,,,"Feys,Fabre(1966; and references therein)",
C,131,C816,,17,N,8,E,Africa,Niger,,north of Agades,Middle,Mississippian,Visean,,Coals,Anou Ararene deposit,,"LeFranc,Guiraud(1990)",see also Alpern(1978)
C,132,C817,,17,N,8,E,Africa,Niger,,30 km north of Agades,Middle,Mississippian,Visean,"Feys,Fabre(1966)cite ""Carboniferous"";may be dep. Lefranc,Guiraud(1990) call Visean",Coals,,,"Feys,Fabre(1966)",
C,133,C818,,40,N,82,E,Asia,China,,Tarim and Xinjiang:Tarim Platform,Upper,Mississippian,(C 1-2),,Coals,,,Bing Hu et al.(1969),
C,134,C819,,46.5,N,83.5,E,Asia,China,,"Tarim and Xinjiang:Emin,Xinjiang",Middle,Mississippian,Visean,,Coals,Nanlinkala,,Wu(1991),
C,135,C820,,47.5,N,87.5,E,Asia,China,,"Tarim and Xinjiang:Aletai,Xinjiang",Middle,Mississippian,Visean,,Coals,Nanlinkala,,Wu(1991),
C,136,C821,,47.1,N,82.9,E,Asia,China,,"Tarim and Xinjiang:Jinhe,Xinjiang",Middle,Mississippian,Visean,,Coals,Nanlinkala,,Wu(1991),
